datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,DUQ,1370
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,DUQ,1336
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,DUQ,1312
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,DUQ,1288
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,DUQ,1286
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,DUQ,1304
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,DUQ,1333
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,DUQ,1351
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,DUQ,1357
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,DUQ,1407
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,DUQ,1413
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,DUQ,1423
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,DUQ,1438
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,DUQ,1434
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,DUQ,1418
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,DUQ,1405
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,DUQ,1446
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,DUQ,1557
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,DUQ,1572
1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,DUQ,1565
1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,1/2/2017 2:00:00 AM,1/1/2017 9:00:00 PM,DUQ,1551
1/2/2017 2:00:00 AM,1/1/2017 9:00:00 PM,1/2/2017 3:00:00 AM,1/1/2017 10:00:00 PM,DUQ,1500
1/2/2017 3:00:00 AM,1/1/2017 10:00:00 PM,1/2/2017 4:00:00 AM,1/1/2017 11:00:00 PM,DUQ,1444
1/2/2017 4:00:00 AM,1/1/2017 11:00:00 PM,1/2/2017 5:00:00 AM,1/2/2017 12:00:00 AM,DUQ,1378
1/2/2017 5:00:00 AM,1/2/2017 12:00:00 AM,1/2/2017 6:00:00 AM,1/2/2017 1:00:00 AM,DUQ,1316
1/2/2017 6:00:00 AM,1/2/2017 1:00:00 AM,1/2/2017 7:00:00 AM,1/2/2017 2:00:00 AM,DUQ,1268
1/2/2017 7:00:00 AM,1/2/2017 2:00:00 AM,1/2/2017 8:00:00 AM,1/2/2017 3:00:00 AM,DUQ,1247
