ZTime,Time,OAT,DT,SLP,WD,WS,SKY,PPT,PPT6,Plsr.Event,Plsr.Source
20130101050000,20130101000000,0,-28,10180,250,46,8,3,-9999,,
20130101060000,20130101010000,0,-22,10175,260,31,8,-1,-9999,,
20130101070000,20130101020000,-6,-22,10175,260,41,8,-1,-9999,,
20130101080000,20130101030000,-6,-17,10175,240,21,8,-1,-9999,,
20130101090000,20130101040000,-6,-17,10173,250,26,8,-1,-9999,,
20130101100000,20130101050000,-6,-17,10169,230,26,8,3,-9999,,
20130101110000,20130101060000,-6,-17,10169,250,15,8,3,-9999,,
20130101120000,20130101070000,-6,-17,10170,0,0,8,3,8,,
20130101130000,20130101080000,-6,-17,10172,250,15,8,-1,-9999,,
20130101140000,20130101090000,-6,-17,10177,260,26,8,3,-9999,,
20130101150000,20130101100000,-6,-22,10177,260,21,8,3,-9999,,
20130101160000,20130101110000,-6,-28,10182,290,41,8,-1,-9999,,
20130101170000,20130101120000,-11,-28,10171,340,41,8,-1,-9999,,
20130101180000,20130101130000,-11,-33,10167,310,41,8,-1,8,,
20130101190000,20130101140000,-11,-39,10162,330,51,8,0,-9999,,
20130101200000,20130101150000,-11,-44,10162,300,46,8,0,-9999,,
20130101210000,20130101160000,-22,-44,10172,320,31,8,0,-9999,,
20130101220000,20130101170000,-28,-56,10181,340,46,8,0,-9999,,
20130101230000,20130101180000,-28,-61,10187,330,36,8,0,-9999,,
20130102000000,20130101190000,-33,-72,10184,360,41,8,0,-9999,,
20130102010000,20130101200000,-39,-78,10190,340,36,8,0,-9999,,
20130102020000,20130101210000,-44,-83,10193,320,36,8,0,-9999,,
20130102030000,20130101220000,-50,-89,10193,350,36,8,0,-9999,,
20130102040000,20130101230000,-56,-100,10197,340,31,8,0,-9999,,
20130102050000,20130102000000,-61,-106,10199,320,31,8,0,-9999,,
20130102060000,20130102010000,-61,-106,10196,310,21,8,0,-9999,,
20130102070000,20130102020000,-67,-111,10195,320,21,8,0,-9999,,
20130102080000,20130102030000,-67,-106,10204,0,0,8,0,-9999,,
20130102090000,20130102040000,-67,-106,10203,0,0,8,0,-9999,,
20130102100000,20130102050000,-72,-106,10202,0,0,8,0,-9999,,
20130102110000,20130102060000,-78,-111,10208,280,36,-9999,0,-9999,,
20130102120000,20130102070000,-89,-122,10217,270,21,8,0,-9999,,
20130102130000,20130102080000,-89,-117,10222,0,0,8,0,-9999,,
20130102140000,20130102090000,-89,-117,10226,0,0,8,0,-9999,,
20130102150000,20130102100000,-72,-117,10232,220,21,8,0,-9999,,
20130102160000,20130102110000,-61,-111,10234,230,21,8,0,-9999,,
20130102170000,20130102120000,-56,-106,10231,250,26,8,0,-9999,,
20130102180000,20130102130000,-44,-106,10232,240,36,8,0,-9999,,
20130102190000,20130102140000,-39,-117,10228,290,31,7,0,-9999,,
20130102200000,20130102150000,-44,-117,10229,280,36,7,0,-9999,,
20130102210000,20130102160000,-39,-122,10230,280,26,6,0,-9999,,
