datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,DUQ,1560
1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,1/1/2015 7:00:00 AM,1/1/2015 2:00:00 AM,DUQ,1543
1/1/2015 7:00:00 AM,1/1/2015 2:00:00 AM,1/1/2015 8:00:00 AM,1/1/2015 3:00:00 AM,DUQ,1494
1/1/2015 8:00:00 AM,1/1/2015 3:00:00 AM,1/1/2015 9:00:00 AM,1/1/2015 4:00:00 AM,DUQ,1482
1/1/2015 9:00:00 AM,1/1/2015 4:00:00 AM,1/1/2015 10:00:00 AM,1/1/2015 5:00:00 AM,DUQ,1498
1/1/2015 10:00:00 AM,1/1/2015 5:00:00 AM,1/1/2015 11:00:00 AM,1/1/2015 6:00:00 AM,DUQ,1517
1/1/2015 11:00:00 AM,1/1/2015 6:00:00 AM,1/1/2015 12:00:00 PM,1/1/2015 7:00:00 AM,DUQ,1550
1/1/2015 12:00:00 PM,1/1/2015 7:00:00 AM,1/1/2015 1:00:00 PM,1/1/2015 8:00:00 AM,DUQ,1563
1/1/2015 1:00:00 PM,1/1/2015 8:00:00 AM,1/1/2015 2:00:00 PM,1/1/2015 9:00:00 AM,DUQ,1557
1/1/2015 2:00:00 PM,1/1/2015 9:00:00 AM,1/1/2015 3:00:00 PM,1/1/2015 10:00:00 AM,DUQ,1551
1/1/2015 3:00:00 PM,1/1/2015 10:00:00 AM,1/1/2015 4:00:00 PM,1/1/2015 11:00:00 AM,DUQ,1609
1/1/2015 4:00:00 PM,1/1/2015 11:00:00 AM,1/1/2015 5:00:00 PM,1/1/2015 12:00:00 PM,DUQ,1632
1/1/2015 5:00:00 PM,1/1/2015 12:00:00 PM,1/1/2015 6:00:00 PM,1/1/2015 1:00:00 PM,DUQ,1619
1/1/2015 6:00:00 PM,1/1/2015 1:00:00 PM,1/1/2015 7:00:00 PM,1/1/2015 2:00:00 PM,DUQ,1607
1/1/2015 7:00:00 PM,1/1/2015 2:00:00 PM,1/1/2015 8:00:00 PM,1/1/2015 3:00:00 PM,DUQ,1587
1/1/2015 8:00:00 PM,1/1/2015 3:00:00 PM,1/1/2015 9:00:00 PM,1/1/2015 4:00:00 PM,DUQ,1591
1/1/2015 9:00:00 PM,1/1/2015 4:00:00 PM,1/1/2015 10:00:00 PM,1/1/2015 5:00:00 PM,DUQ,1631
1/1/2015 10:00:00 PM,1/1/2015 5:00:00 PM,1/1/2015 11:00:00 PM,1/1/2015 6:00:00 PM,DUQ,1736
1/1/2015 11:00:00 PM,1/1/2015 6:00:00 PM,1/2/2015 12:00:00 AM,1/1/2015 7:00:00 PM,DUQ,1732
1/2/2015 12:00:00 AM,1/1/2015 7:00:00 PM,1/2/2015 1:00:00 AM,1/1/2015 8:00:00 PM,DUQ,1735
1/2/2015 1:00:00 AM,1/1/2015 8:00:00 PM,1/2/2015 2:00:00 AM,1/1/2015 9:00:00 PM,DUQ,1733
1/2/2015 2:00:00 AM,1/1/2015 9:00:00 PM,1/2/2015 3:00:00 AM,1/1/2015 10:00:00 PM,DUQ,1672
1/2/2015 3:00:00 AM,1/1/2015 10:00:00 PM,1/2/2015 4:00:00 AM,1/1/2015 11:00:00 PM,DUQ,1599
1/2/2015 4:00:00 AM,1/1/2015 11:00:00 PM,1/2/2015 5:00:00 AM,1/2/2015 12:00:00 AM,DUQ,1528
